,Data,UF-Cidade,Temp. Min.,Temp. Max.,Nasc. Sol,Por Sol,% Chuva,IUV,UF,Cidade
148,2019-12-19,RS/Passo-Fundo,16,30,0 days 05:28:00.000000000,0 days 19:24:00.000000000,5,13,RS,Passo Fundo
149,2019-12-19,SP/Araçatuba,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Araçatuba
150,2019-12-19,GO/Luziânia,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,GO,Luziânia
151,2019-12-19,SP/Santa-Bárbara-d’Oeste,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Santa Bárbara d’Oeste
152,2019-12-19,BA/Lauro-de-Freitas,26,30,0 days 05:03:00.000000000,0 days 17:56:00.000000000,5,12,BA,Lauro de Freitas
153,2019-12-19,PA/Castanhal,23,33,0 days 06:02:00.000000000,0 days 18:14:00.000000000,80,11,PA,Castanhal
154,2019-12-19,RJ/Angra-dos-Reis,23,27,0 days 05:07:00.000000000,0 days 18:40:00.000000000,90,13,RJ,Angra dos Reis
155,2019-12-19,RJ/Nova-Friburgo,18,25,0 days 05:02:00.000000000,0 days 18:32:00.000000000,80,13,RJ,Nova Friburgo
156,2019-12-19,PA/Parauapebas,26,36,0 days 06:02:00.000000000,0 days 18:30:00.000000000,80,12,PA,Parauapebas
157,2019-12-19,SP/Ferraz-de-Vasconcelos,19,23,0 days 05:14:00.000000000,0 days 18:50:00.000000000,80,13,SP,Ferraz de Vasconcelos
158,2019-12-19,GO/Águas-Lindas-de-Goiás,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,GO,Águas Lindas de Goiás
159,2019-12-19,BA/Ilhéus,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,BA,Ilhéus
160,2019-12-19,RJ/Barra-Mansa,20,28,0 days 05:08:00.000000000,0 days 18:39:00.000000000,90,13,RJ,Barra Mansa
161,2019-12-19,PR/Guarapuava,15,19,0 days 05:31:00.000000000,0 days 19:14:00.000000000,80,13,PR,Guarapuava
162,2019-12-19,SE/Nossa-Senhora-do-Socorro,25,30,0 days 05:02:00.000000000,0 days 17:48:00.000000000,5,12,SE,Nossa Senhora do Socorro
163,2019-12-19,MA/São-José-de-Ribamar,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,MA,São José de Ribamar
164,2019-12-19,MG/Ibirité,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,MG,Ibirité
165,2019-12-19,RJ/Teresópolis,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,RJ,Teresópolis
166,2019-12-19,RJ/Mesquita,22,29,0 days 05:06:00.000000000,0 days 18:38:00.000000000,90,13,RJ,Mesquita
167,2019-12-19,TO/Araguaína,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,TO,Araguaína
168,2019-12-19,SP/Francisco-Morato,19,24,0 days 05:16:00.000000000,0 days 18:51:00.000000000,87,13,SP,Francisco Morato
169,2019-12-19,SP/Itu,20,26,0 days 05:19:00.000000000,0 days 18:53:00.000000000,87,13,SP,Itu
170,2019-12-19,SP/Itapecerica-da-Serra,18,21,0 days 05:16:00.000000000,0 days 18:52:00.000000000,73,13,SP,Itapecerica da Serra
171,2019-12-19,MA/Timon,23,39,0 days 05:35:00.000000000,0 days 18:00:00.000000000,30,11,MA,Timon
172,2019-12-19,MG/Poços-de-Caldas,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,MG,Poços de Caldas
173,2019-12-19,BA/Jequié,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,BA,Jequié
174,2019-12-19,ES/Linhares,23,31,0 days 04:58:00.000000000,0 days 18:16:00.000000000,5,12,ES,Linhares
175,2019-12-19,MA/Caxias,24,39,0 days 05:38:00.000000000,0 days 18:02:00.000000000,80,11,MA,Caxias
176,2019-12-19,SC/Jaraguá-do-Sul,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SC,Jaraguá do Sul
177,2019-12-19,SP/Pindamonhangaba,20,27,0 days 05:12:00.000000000,0 days 18:45:00.000000000,90,13,SP,Pindamonhangaba
178,2019-12-19,SP/Bragança-Paulista,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Bragança Paulista
179,2019-12-19,SC/Lages,13,21,0 days 05:21:00.000000000,0 days 19:15:00.000000000,5,13,SC,Lages
180,2019-12-19,RJ/Nilópolis,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,RJ,Nilópolis
181,2019-12-19,SP/São-Caetano-do-Sul,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,São Caetano do Sul
182,2019-12-19,BA/Teixeira-de-Freitas,19,32,0 days 05:00:00.000000000,0 days 18:11:00.000000000,5,12,BA,Teixeira de Freitas
183,2019-12-19,SP/Itapetininga,14,21,0 days 05:21:00.000000000,0 days 18:56:00.000000000,80,13,SP,Itapetininga
184,2019-12-19,SC/Palhoça,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SC,Palhoça
185,2019-12-19,BA/Alagoinhas,18,31,0 days 05:05:00.000000000,0 days 17:55:00.000000000,5,12,BA,Alagoinhas
186,2019-12-19,PE/Camaragibe,22,32,0 days 04:59:00.000000000,0 days 17:34:00.000000000,30,12,PE,Camaragibe
187,2019-12-19,BA/Barreiras,21,36,0 days 05:31:00.000000000,0 days 18:22:00.000000000,5,13,BA,Barreiras
188,2019-12-19,GO/Valparaíso-de-Goiás,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,GO,Valparaíso de Goiás
